Format,Metric,Year,Number of Records,Value (Actual)
Other Tapes,Units,1973-01-01,1,2.2
Other Tapes,Units,1974-01-01,1,1.9
Other Tapes,Units,1975-01-01,1,1.5
Other Tapes,Units,1976-01-01,1,0.7
Other Tapes,Units,1977-01-01,1,0.0
Other Tapes,Units,1978-01-01,1,0.0
Other Tapes,Units,1979-01-01,1,0.0
Other Tapes,Units,1980-01-01,1,0.0
Other Tapes,Units,1981-01-01,1,0.0
Other Tapes,Units,1982-01-01,1,0.0
Other Tapes,Units,1983-01-01,1,0.0
Other Tapes,Units,1984-01-01,1,0.0
Other Tapes,Units,1985-01-01,1,0.0
Other Tapes,Units,1986-01-01,1,0.0
Other Tapes,Units,1987-01-01,1,0.0
Other Tapes,Units,1988-01-01,1,0.0
Other Tapes,Units,1989-01-01,1,0.0
Other Tapes,Units,1990-01-01,1,0.0
Other Tapes,Units,1991-01-01,1,0.0
Other Tapes,Units,1992-01-01,1,0.0
Other Tapes,Units,1993-01-01,1,0.0
Other Tapes,Units,1994-01-01,1,0.0
Other Tapes,Units,1995-01-01,1,0.0
Other Tapes,Units,1996-01-01,1,0.0
Other Tapes,Units,1997-01-01,1,0.0
Other Tapes,Units,1998-01-01,1,0.0
Other Tapes,Units,1999-01-01,1,0.0
Other Tapes,Units,2000-01-01,1,0.0
Other Tapes,Units,2001-01-01,1,0.0
Other Tapes,Units,2002-01-01,1,0.0
Other Tapes,Units,2003-01-01,1,0.0
Other Tapes,Units,2004-01-01,1,0.0
Other Tapes,Units,2005-01-01,1,0.0
Other Tapes,Units,2006-01-01,1,0.0
Other Tapes,Units,2007-01-01,1,0.0
Other Tapes,Units,2008-01-01,1,0.0
Other Tapes,Units,2009-01-01,1,0.0
Other Tapes,Units,2010-01-01,1,0.0
Other Tapes,Units,2011-01-01,1,0.0
Other Tapes,Units,2012-01-01,1,29.266338245
Other Tapes,Units,2013-01-01,1,29.266338245
Other Tapes,Units,2014-01-01,1,29.266338245
Other Tapes,Units,2015-01-01,1,29.266338245
Other Tapes,Units,2016-01-01,1,29.266338245
Other Tapes,Units,2017-01-01,1,29.266338245
Other Tapes,Units,2018-01-01,1,29.266338245
Other Tapes,Units,2019-01-01,1,29.266338245
Music Video (Physical),Units,1973-01-01,1,29.266338245
Music Video (Physical),Units,1974-01-01,1,29.266338245
Music Video (Physical),Units,1975-01-01,1,29.266338245
Music Video (Physical),Units,1976-01-01,1,29.266338245
Music Video (Physical),Units,1977-01-01,1,29.266338245
Music Video (Physical),Units,1978-01-01,1,29.266338245
Music Video (Physical),Units,1979-01-01,1,29.266338245
Music Video (Physical),Units,1980-01-01,1,29.266338245
Music Video (Physical),Units,1981-01-01,1,29.266338245
Music Video (Physical),Units,1982-01-01,1,29.266338245
Music Video (Physical),Units,1983-01-01,1,29.266338245
Music Video (Physical),Units,1984-01-01,1,29.266338245
Music Video (Physical),Units,1985-01-01,1,29.266338245
Music Video (Physical),Units,1986-01-01,1,29.266338245
Music Video (Physical),Units,1987-01-01,1,29.266338245
Music Video (Physical),Units,1988-01-01,1,29.266338245
Music Video (Physical),Units,1989-01-01,1,6.1
Music Video (Physical),Units,1990-01-01,1,9.2
Music Video (Physical),Units,1991-01-01,1,6.1
Music Video (Physical),Units,1992-01-01,1,7.6
Music Video (Physical),Units,1993-01-01,1,11.0
Music Video (Physical),Units,1994-01-01,1,11.2
Music Video (Physical),Units,1995-01-01,1,12.6
Music Video (Physical),Units,1996-01-01,1,16.9
Music Video (Physical),Units,1997-01-01,1,18.6
Music Video (Physical),Units,1998-01-01,1,27.2
Music Video (Physical),Units,1999-01-01,1,19.8
Music Video (Physical),Units,2000-01-01,1,18.2
Music Video (Physical),Units,2001-01-01,1,17.7
Music Video (Physical),Units,2002-01-01,1,14.7
